emailId,senderId,recipientId,subject,content,sendTime,status,hasAttachment
email_1703123456816_234,2222222,2345678,回复：学习心得,你好，我也在学习微积分！极限确实是个难点，我们可以一起讨论。,2024-02-01 14:45:00,SENT,false
email_1703123456817_567,1234567,2345678,考试时间确认,你好，下周三的数学考试时间确认了吗？是上午还是下午？,2024-02-02 10:15:00,READ,false
email_1703123456818_890,1222222,2222222,文学讲座通知,你好，学校下周有一个关于现代文学的讲座，主讲人是知名作家，你要不要一起去听？,2024-02-03 16:30:00,SENT,false
email_1703123456819_123,2345678,1234567,回复：考试时间,你好，考试时间是下周三上午9点，在A教学楼201教室。,2024-02-03 17:00:00,SENT,false
email_1703123456820_456,2222222,1222222,回复：文学讲座,你好，我很想去！具体是什么时候？需要提前报名吗？,2024-02-04 09:30:00,SENT,false
email_1703123456821_789,1234567,2222222,学习资源推荐,你好，我发现了一个很好的在线学习平台，有很多文学课程，推荐给你。,2024-02-05 11:20:00,SENT,false
email_1703123456822_012,1222222,2345678,实验数据分享,你好，我们的实验数据已经整理好了，我发给你一份，你可以参考一下。,2024-02-06 15:45:00,READ,false
email_1703123456823_345,2345678,1222222,回复：实验数据,你好，谢谢分享！数据很详细，对我的实验报告很有帮助。,2024-02-06 16:30:00,SENT,false
email_1703123456824_678,2222222,1234567,回复：学习资源,你好，谢谢推荐！我已经注册了，课程质量确实不错。,2024-02-07 10:15:00,SENT,false
email_1703123456825_901,1234567,1222222,课程作业提醒,你好，别忘了明天要交的编程作业，我们晚上一起检查一下代码。,2024-02-08 18:30:00,SENT,false
email_1703123456826_234,1222222,1234567,回复：作业提醒,你好，好的！我晚上8点在宿舍等你，我们一起检查。,2024-02-08 19:00:00,READ,false
email_1703123456827_567,2345678,2222222,数学竞赛准备,你好，数学竞赛还有一周就开始了，我们要抓紧时间准备。,2024-02-09 14:20:00,SENT,false
email_1703123456828_890,2222222,2345678,回复：竞赛准备,你好，是的！我们明天开始集中训练，争取取得好成绩。,2024-02-09 15:30:00,SENT,false
email_1703123456829_123,1234567,2345678,学习计划调整,你好，我们的学习计划需要调整一下，增加一些实践环节。,2024-02-10 12:45:00,SENT,false
email_1703123456830_456,1222222,2222222,文学创作比赛,你好，学校要举办文学创作比赛，我们要不要一起参加？,2024-02-11 16:00:00,SENT,false
email_1703123456831_789,2345678,1234567,回复：学习计划,你好，好主意！实践确实很重要，我们可以增加一些编程练习。,2024-02-11 17:15:00,SENT,false
email_1703123456832_012,2222222,1222222,回复：创作比赛,你好，我很感兴趣！我们写什么类型的作品？,2024-02-12 09:30:00,SENT,false
email_1703123456833_345,1234567,2222222,课程评价,你好，你觉得《中国古典文学》这门课怎么样？老师讲得清楚吗？,2024-02-13 11:00:00,SENT,false
email_1703123456834_678,1222222,2345678,实验报告提交,你好，我们的实验报告已经提交了，老师给了很高的评价。,2024-02-14 15:30:00,READ,false
email_1703123456835_901,2345678,1222222,回复：实验报告,你好，太好了！我们的努力没有白费。,2024-02-14 16:00:00,SENT,false
email_1703123456836_234,2222222,1234567,回复：课程评价,你好，老师讲得很好，课程内容也很丰富，推荐你选。,2024-02-15 10:30:00,SENT,false
email_1703123456837_567,1234567,1222222,项目进展汇报,你好，我们的项目进展很顺利，数据库设计已经完成了。,2024-02-16 14:15:00,SENT,false
email_1703123456838_890,1222222,1234567,回复：项目进展,你好，太好了！我们继续努力，争取按时完成。,2024-02-16 15:00:00,SENT,false
email_1703123456839_123,2345678,2222222,数学竞赛结果,你好，数学竞赛的结果出来了，我们获得了二等奖！,2024-02-17 16:30:00,READ,false
email_1703123456840_456,2222222,2345678,回复：竞赛结果,你好，太棒了！我们的努力得到了回报。,2024-02-17 17:00:00,SENT,false
email_1703123456841_789,1234567,2345678,学习总结,你好，这个学期的学习总结写好了吗？我们要交一份给老师。,2024-02-18 13:20:00,SENT,false
email_1703123456842_012,1222222,2222222,文学创作进展,你好，我们的文学创作比赛作品写得怎么样了？,2024-02-19 15:45:00,SENT,false
email_1703123456843_345,2345678,1234567,回复：学习总结,你好，我已经写好了，主要总结了数学和计算机方面的学习心得。,2024-02-19 16:30:00,SENT,false
email_1703123456844_678,2222222,1222222,回复：创作进展,你好，我们写的是关于青春和梦想的散文，已经完成了初稿。,2024-02-20 10:15:00,SENT,false
email_1703123456845_901,1234567,2222222,下学期计划,你好，下学期你有什么学习计划吗？我想选修一些新的课程。,2024-02-21 11:30:00,SENT,false
email_1703123456846_234,1222222,2345678,实验设备归还,你好，示波器用完了，明天还给你，谢谢你的帮助。,2024-02-22 17:00:00,READ,false
email_1703123456847_567,2345678,1222222,回复：设备归还,你好，不客气！设备好用就行。,2024-02-22 17:30:00,SENT,false
email_1703123456848_890,2222222,1234567,回复：下学期计划,你好，我想选修一些艺术类的课程，丰富一下自己的知识面。,2024-02-23 09:45:00,SENT,false
